1,2,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus,lorem vitae mattis nibh ligula nec sem duis aliquam convallis,3,10
2,1,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,3,26
3,4,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,consequat dui nec nisi volutpat eleifend donec ut dolor morbi,enim blandit mi in porttitor pede justo eu massa donec,1,20
4,4,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,rutrum nulla nunc purus phasellus in felis donec semper sapien a,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,8,23
5,4,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a,4,8
6,4,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,1,12
7,4,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,urna ut tellus nulla ut erat id mauris vulputate elementum,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,2,13
8,2,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,2,19
9,2,magna at nunc commodo placerat praesent blandit nam nulla integer,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,eu orci mauris lacinia sapien quis libero nullam sit amet,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,6,23
10,3,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,bibendum morbi non quam nec dui luctus rutrum nulla tellus in,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,8,9
11,3,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,3,10
12,3,vestibulum ante ipsum primis in faucibus orci luctus et ultrices,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,4,10
13,3,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,ac consequat metus sapien ut nunc vestibulum ante ipsum primis,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,lorem vitae mattis nibh ligula nec sem duis aliquam convallis,7,11
